combination_number,advancing_third_place_groups,third_for_1A,third_for_1B,third_for_1D,third_for_1E,third_for_1G,third_for_1I,third_for_1K,third_for_1L
495,ABCDEFGH,H,G,B,C,A,F,D,E
494,ABCDEFGI,C,G,B,D,A,F,E,I
493,ABCDEFGJ,C,G,B,D,A,F,E,J
492,ABCDEFGK,C,G,B,D,A,F,E,K
491,ABCDEFGL,C,G,B,D,A,F,L,E
490,ABCDEFHI,H,E,B,C,A,F,D,I
489,ABCDEFHJ,H,J,B,C,A,F,D,E
488,ABCDEFHK,H,E,B,C,A,F,D,K
487,ABCDEFHL,H,F,B,C,A,D,L,E
486,ABCDEFIJ,C,J,B,D,A,F,E,I
485,ABCDEFIK,C,E,B,D,A,F,I,K
484,ABCDEFIL,C,E,B,D,A,F,L,I
483,ABCDEFJK,C,J,B,D,A,F,E,K
482,ABCDEFJL,C,J,B,D,A,F,L,E
481,ABCDEFKL,C,E,B,D,A,F,L,K
480,ABCDEGHI,H,G,B,C,A,D,E,I
479,ABCDEGHJ,H,G,B,C,A,D,E,J
478,ABCDEGHK,H,G,B,C,A,D,E,K
477,ABCDEGHL,H,G,B,C,A,D,L,E
476,ABCDEGIJ,E,G,B,C,A,D,I,J
475,ABCDEGIK,E,G,B,C,A,D,I,K
474,ABCDEGIL,E,G,B,C,A,D,L,I
473,ABCDEGJK,E,G,B,C,A,D,J,K
472,ABCDEGJL,E,G,B,C,A,D,L,J
471,ABCDEGKL,E,G,B,C,A,D,L,K
470,ABCDEHIJ,H,J,B,C,A,D,E,I
469,ABCDEHIK,H,E,B,C,A,D,I,K
468,ABCDEHIL,H,E,B,C,A,D,L,I
467,ABCDEHJK,H,J,B,C,A,D,E,K
466,ABCDEHJL,H,J,B,C,A,D,L,E
465,ABCDEHKL,H,E,B,C,A,D,L,K
464,ABCDEIJK,E,J,B,C,A,D,I,K
463,ABCDEIJL,E,J,B,C,A,D,L,I
462,ABCDEIKL,E,I,B,C,A,D,L,K
461,ABCDEJKL,E,J,B,C,A,D,L,K
460,ABCDFGHI,H,G,B,C,A,F,D,I
459,ABCDFGHJ,H,G,B,C,A,F,D,J
458,ABCDFGHK,H,G,B,C,A,F,D,K
457,ABCDFGHL,C,G,B,D,A,F,L,H
456,ABCDFGIJ,C,G,B,D,A,F,I,J
455,ABCDFGIK,C,G,B,D,A,F,I,K
454,ABCDFGIL,C,G,B,D,A,F,L,I
453,ABCDFGJK,C,G,B,D,A,F,J,K
452,ABCDFGJL,C,G,B,D,A,F,L,J
451,ABCDFGKL,C,G,B,D,A,F,L,K
450,ABCDFHIJ,H,J,B,C,A,F,D,I
449,ABCDFHIK,H,F,B,C,A,D,I,K
448,ABCDFHIL,H,F,B,C,A,D,L,I
447,ABCDFHJK,H,J,B,C,A,F,D,K
446,ABCDFHJL,C,J,B,D,A,F,L,H
445,ABCDFHKL,H,F,B,C,A,D,L,K
444,ABCDFIJK,C,J,B,D,A,F,I,K
443,ABCDFIJL,C,J,B,D,A,F,L,I
442,ABCDFIKL,C,I,B,D,A,F,L,K
441,ABCDFJKL,C,J,B,D,A,F,L,K
440,ABCDGHIJ,H,G,B,C,A,D,I,J
439,ABCDGHIK,H,G,B,C,A,D,I,K
438,ABCDGHIL,H,G,B,C,A,D,L,I
437,ABCDGHJK,H,G,B,C,A,D,J,K
436,ABCDGHJL,H,G,B,C,A,D,L,J
435,ABCDGHKL,H,G,B,C,A,D,L,K
434,ABCDGIJK,C,J,B,D,A,G,I,K
433,ABCDGIJL,C,J,B,D,A,G,L,I
432,ABCDGIKL,I,G,B,C,A,D,L,K
431,ABCDGJKL,C,J,B,D,A,G,L,K
430,ABCDHIJK,H,J,B,C,A,D,I,K
429,ABCDHIJL,H,J,B,C,A,D,L,I
428,ABCDHIKL,H,I,B,C,A,D,L,K
427,ABCDHJKL,H,J,B,C,A,D,L,K
426,ABCDIJKL,I,J,B,C,A,D,L,K
425,ABCEFGHI,H,G,B,C,A,F,E,I
424,ABCEFGHJ,H,G,B,C,A,F,E,J
423,ABCEFGHK,H,G,B,C,A,F,E,K
422,ABCEFGHL,H,G,B,C,A,F,L,E
421,ABCEFGIJ,E,G,B,C,A,F,I,J
420,ABCEFGIK,E,G,B,C,A,F,I,K
419,ABCEFGIL,E,G,B,C,A,F,L,I
418,ABCEFGJK,E,G,B,C,A,F,J,K
417,ABCEFGJL,E,G,B,C,A,F,L,J
416,ABCEFGKL,E,G,B,C,A,F,L,K
415,ABCEFHIJ,H,J,B,C,A,F,E,I
414,ABCEFHIK,H,E,B,C,A,F,I,K
413,ABCEFHIL,H,E,B,C,A,F,L,I
412,ABCEFHJK,H,J,B,C,A,F,E,K
411,ABCEFHJL,H,J,B,C,A,F,L,E
410,ABCEFHKL,H,E,B,C,A,F,L,K
409,ABCEFIJK,E,J,B,C,A,F,I,K
408,ABCEFIJL,E,J,B,C,A,F,L,I
407,ABCEFIKL,E,I,B,C,A,F,L,K
406,ABCEFJKL,E,J,B,C,A,F,L,K
405,ABCEGHIJ,H,J,B,C,A,G,E,I
404,ABCEGHIK,E,G,B,C,A,H,I,K
403,ABCEGHIL,E,G,B,C,A,H,L,I
402,ABCEGHJK,H,J,B,C,A,G,E,K
401,ABCEGHJL,H,J,B,C,A,G,L,E
400,ABCEGHKL,E,G,B,C,A,H,L,K
399,ABCEGIJK,E,J,B,C,A,G,I,K
398,ABCEGIJL,E,J,B,C,A,G,L,I
397,ABCEGIKL,E,G,B,A,I,C,L,K
396,ABCEGJKL,E,J,B,C,A,G,L,K
395,ABCEHIJK,E,J,B,C,A,H,I,K
394,ABCEHIJL,E,J,B,C,A,H,L,I
393,ABCEHIKL,E,I,B,C,A,H,L,K
392,ABCEHJKL,E,J,B,C,A,H,L,K
391,ABCEIJKL,E,J,B,A,I,C,L,K
390,ABCFGHIJ,H,G,B,C,A,F,I,J
389,ABCFGHIK,H,G,B,C,A,F,I,K
388,ABCFGHIL,H,G,B,C,A,F,L,I
387,ABCFGHJK,H,G,B,C,A,F,J,K
386,ABCFGHJL,H,G,B,C,A,F,L,J
385,ABCFGHKL,H,G,B,C,A,F,L,K
384,ABCFGIJK,C,J,B,F,A,G,I,K
383,ABCFGIJL,C,J,B,F,A,G,L,I
382,ABCFGIKL,I,G,B,C,A,F,L,K
381,ABCFGJKL,C,J,B,F,A,G,L,K
380,ABCFHIJK,H,J,B,C,A,F,I,K
379,ABCFHIJL,H,J,B,C,A,F,L,I
378,ABCFHIKL,H,I,B,C,A,F,L,K
377,ABCFHJKL,H,J,B,C,A,F,L,K
376,ABCFIJKL,I,J,B,C,A,F,L,K
375,ABCGHIJK,H,J,B,C,A,G,I,K
374,ABCGHIJL,H,J,B,C,A,G,L,I
373,ABCGHIKL,I,G,B,C,A,H,L,K
372,ABCGHJKL,H,J,B,C,A,G,L,K
371,ABCGIJKL,I,J,B,C,A,G,L,K
370,ABCHIJKL,I,J,B,C,A,H,L,K
369,ABDEFGHI,H,G,B,D,A,F,E,I
368,ABDEFGHJ,H,G,B,D,A,F,E,J
367,ABDEFGHK,H,G,B,D,A,F,E,K
366,ABDEFGHL,H,G,B,D,A,F,L,E
365,ABDEFGIJ,E,G,B,D,A,F,I,J
364,ABDEFGIK,E,G,B,D,A,F,I,K
363,ABDEFGIL,E,G,B,D,A,F,L,I
362,ABDEFGJK,E,G,B,D,A,F,J,K
361,ABDEFGJL,E,G,B,D,A,F,L,J
360,ABDEFGKL,E,G,B,D,A,F,L,K
359,ABDEFHIJ,H,J,B,D,A,F,E,I
358,ABDEFHIK,H,E,B,D,A,F,I,K
357,ABDEFHIL,H,E,B,D,A,F,L,I
356,ABDEFHJK,H,J,B,D,A,F,E,K
355,ABDEFHJL,H,J,B,D,A,F,L,E
354,ABDEFHKL,H,E,B,D,A,F,L,K
353,ABDEFIJK,E,J,B,D,A,F,I,K
352,ABDEFIJL,E,J,B,D,A,F,L,I
351,ABDEFIKL,E,I,B,D,A,F,L,K
350,ABDEFJKL,E,J,B,D,A,F,L,K
349,ABDEGHIJ,H,J,B,D,A,G,E,I
348,ABDEGHIK,E,G,B,D,A,H,I,K
347,ABDEGHIL,E,G,B,D,A,H,L,I
346,ABDEGHJK,H,J,B,D,A,G,E,K
345,ABDEGHJL,H,J,B,D,A,G,L,E
344,ABDEGHKL,E,G,B,D,A,H,L,K
343,ABDEGIJK,E,J,B,D,A,G,I,K
342,ABDEGIJL,E,J,B,D,A,G,L,I
341,ABDEGIKL,E,G,B,A,I,D,L,K
340,ABDEGJKL,E,J,B,D,A,G,L,K
339,ABDEHIJK,E,J,B,D,A,H,I,K
338,ABDEHIJL,E,J,B,D,A,H,L,I
337,ABDEHIKL,E,I,B,D,A,H,L,K
336,ABDEHJKL,E,J,B,D,A,H,L,K
335,ABDEIJKL,E,J,B,A,I,D,L,K
334,ABDFGHIJ,H,G,B,D,A,F,I,J
333,ABDFGHIK,H,G,B,D,A,F,I,K
332,ABDFGHIL,H,G,B,D,A,F,L,I
331,ABDFGHJK,H,G,B,D,A,F,J,K
330,ABDFGHJL,H,G,B,D,A,F,L,J
329,ABDFGHKL,H,G,B,D,A,F,L,K
328,ABDFGIJK,F,J,B,D,A,G,I,K
327,ABDFGIJL,F,J,B,D,A,G,L,I
326,ABDFGIKL,I,G,B,D,A,F,L,K
325,ABDFGJKL,F,J,B,D,A,G,L,K
324,ABDFHIJK,H,J,B,D,A,F,I,K
323,ABDFHIJL,H,J,B,D,A,F,L,I
322,ABDFHIKL,H,I,B,D,A,F,L,K
321,ABDFHJKL,H,J,B,D,A,F,L,K
320,ABDFIJKL,I,J,B,D,A,F,L,K
319,ABDGHIJK,H,J,B,D,A,G,I,K
318,ABDGHIJL,H,J,B,D,A,G,L,I
317,ABDGHIKL,I,G,B,D,A,H,L,K
316,ABDGHJKL,H,J,B,D,A,G,L,K
315,ABDGIJKL,I,J,B,D,A,G,L,K
314,ABDHIJKL,I,J,B,D,A,H,L,K
313,ABEFGHIJ,H,J,B,F,A,G,E,I
312,ABEFGHIK,E,G,B,F,A,H,I,K
311,ABEFGHIL,E,G,B,F,A,H,L,I
310,ABEFGHJK,H,J,B,F,A,G,E,K
309,ABEFGHJL,H,J,B,F,A,G,L,E
308,ABEFGHKL,E,G,B,F,A,H,L,K
307,ABEFGIJK,E,J,B,F,A,G,I,K
306,ABEFGIJL,E,J,B,F,A,G,L,I
305,ABEFGIKL,E,G,B,A,I,F,L,K
304,ABEFGJKL,E,J,B,F,A,G,L,K
303,ABEFHIJK,E,J,B,F,A,H,I,K
302,ABEFHIJL,E,J,B,F,A,H,L,I
301,ABEFHIKL,E,I,B,F,A,H,L,K
300,ABEFHJKL,E,J,B,F,A,H,L,K
299,ABEFIJKL,E,J,B,A,I,F,L,K
298,ABEGHIJK,E,J,B,A,H,G,I,K
297,ABEGHIJL,E,J,B,A,H,G,L,I
296,ABEGHIKL,E,G,B,A,I,H,L,K
295,ABEGHJKL,E,J,B,A,H,G,L,K
294,ABEGIJKL,E,J,B,A,I,G,L,K
293,ABEHIJKL,E,J,B,A,I,H,L,K
292,ABFGHIJK,H,J,B,F,A,G,I,K
291,ABFGHIJL,H,J,B,F,A,G,L,I
290,ABFGHIKL,H,G,B,A,I,F,L,K
289,ABFGHJKL,H,J,B,F,A,G,L,K
288,ABFGIJKL,I,J,B,F,A,G,L,K
287,ABFHIJKL,H,J,B,A,I,F,L,K
286,ABGHIJKL,H,J,B,A,I,G,L,K
285,ACDEFGHI,H,G,E,C,A,F,D,I
284,ACDEFGHJ,H,G,J,C,A,F,D,E
283,ACDEFGHK,H,G,E,C,A,F,D,K
282,ACDEFGHL,H,G,F,C,A,D,L,E
281,ACDEFGIJ,C,G,J,D,A,F,E,I
280,ACDEFGIK,C,G,E,D,A,F,I,K
279,ACDEFGIL,C,G,E,D,A,F,L,I
278,ACDEFGJK,C,G,J,D,A,F,E,K
277,ACDEFGJL,C,G,J,D,A,F,L,E
276,ACDEFGKL,C,G,E,D,A,F,L,K
275,ACDEFHIJ,H,J,E,C,A,F,D,I
274,ACDEFHIK,H,E,F,C,A,D,I,K
273,ACDEFHIL,H,E,F,C,A,D,L,I
272,ACDEFHJK,H,J,E,C,A,F,D,K
271,ACDEFHJL,H,J,F,C,A,D,L,E
270,ACDEFHKL,H,E,F,C,A,D,L,K
269,ACDEFIJK,C,J,E,D,A,F,I,K
268,ACDEFIJL,C,J,E,D,A,F,L,I
267,ACDEFIKL,C,E,I,D,A,F,L,K
266,ACDEFJKL,C,J,E,D,A,F,L,K
265,ACDEGHIJ,H,G,J,C,A,D,E,I
264,ACDEGHIK,H,G,E,C,A,D,I,K
263,ACDEGHIL,H,G,E,C,A,D,L,I
262,ACDEGHJK,H,G,J,C,A,D,E,K
261,ACDEGHJL,H,G,J,C,A,D,L,E
260,ACDEGHKL,H,G,E,C,A,D,L,K
259,ACDEGIJK,E,G,J,C,A,D,I,K
258,ACDEGIJL,E,G,J,C,A,D,L,I
257,ACDEGIKL,E,G,I,C,A,D,L,K
256,ACDEGJKL,E,G,J,C,A,D,L,K
255,ACDEHIJK,H,J,E,C,A,D,I,K
254,ACDEHIJL,H,J,E,C,A,D,L,I
253,ACDEHIKL,H,E,I,C,A,D,L,K
252,ACDEHJKL,H,J,E,C,A,D,L,K
251,ACDEIJKL,E,J,I,C,A,D,L,K
250,ACDFGHIJ,H,G,J,C,A,F,D,I
249,ACDFGHIK,H,G,F,C,A,D,I,K
248,ACDFGHIL,H,G,F,C,A,D,L,I
247,ACDFGHJK,H,G,J,C,A,F,D,K
246,ACDFGHJL,C,G,J,D,A,F,L,H
245,ACDFGHKL,H,G,F,C,A,D,L,K
244,ACDFGIJK,C,G,J,D,A,F,I,K
243,ACDFGIJL,C,G,J,D,A,F,L,I
242,ACDFGIKL,C,G,I,D,A,F,L,K
241,ACDFGJKL,C,G,J,D,A,F,L,K
240,ACDFHIJK,H,J,F,C,A,D,I,K
239,ACDFHIJL,H,J,F,C,A,D,L,I
238,ACDFHIKL,H,F,I,C,A,D,L,K
237,ACDFHJKL,H,J,F,C,A,D,L,K
236,ACDFIJKL,C,J,I,D,A,F,L,K
235,ACDGHIJK,H,G,J,C,A,D,I,K
234,ACDGHIJL,H,G,J,C,A,D,L,I
233,ACDGHIKL,H,G,I,C,A,D,L,K
232,ACDGHJKL,H,G,J,C,A,D,L,K
231,ACDGIJKL,I,G,J,C,A,D,L,K
230,ACDHIJKL,H,J,I,C,A,D,L,K
229,ACEFGHIJ,H,G,J,C,A,F,E,I
228,ACEFGHIK,H,G,E,C,A,F,I,K
227,ACEFGHIL,H,G,E,C,A,F,L,I
226,ACEFGHJK,H,G,J,C,A,F,E,K
225,ACEFGHJL,H,G,J,C,A,F,L,E
224,ACEFGHKL,H,G,E,C,A,F,L,K
223,ACEFGIJK,E,G,J,C,A,F,I,K
222,ACEFGIJL,E,G,J,C,A,F,L,I
221,ACEFGIKL,E,G,I,C,A,F,L,K
220,ACEFGJKL,E,G,J,C,A,F,L,K
219,ACEFHIJK,H,J,E,C,A,F,I,K
218,ACEFHIJL,H,J,E,C,A,F,L,I
217,ACEFHIKL,H,E,I,C,A,F,L,K
216,ACEFHJKL,H,J,E,C,A,F,L,K
215,ACEFIJKL,E,J,I,C,A,F,L,K
214,ACEGHIJK,E,G,J,C,A,H,I,K
213,ACEGHIJL,E,G,J,C,A,H,L,I
212,ACEGHIKL,E,G,I,C,A,H,L,K
211,ACEGHJKL,E,G,J,C,A,H,L,K
210,ACEGIJKL,E,J,I,C,A,G,L,K
209,ACEHIJKL,E,J,I,C,A,H,L,K
208,ACFGHIJK,H,G,J,C,A,F,I,K
207,ACFGHIJL,H,G,J,C,A,F,L,I
206,ACFGHIKL,H,G,I,C,A,F,L,K
205,ACFGHJKL,H,G,J,C,A,F,L,K
204,ACFGIJKL,I,G,J,C,A,F,L,K
203,ACFHIJKL,H,J,I,C,A,F,L,K
202,ACGHIJKL,H,J,I,C,A,G,L,K
201,ADEFGHIJ,H,G,J,D,A,F,E,I
200,ADEFGHIK,H,G,E,D,A,F,I,K
199,ADEFGHIL,H,G,E,D,A,F,L,I
198,ADEFGHJK,H,G,J,D,A,F,E,K
197,ADEFGHJL,H,G,J,D,A,F,L,E
196,ADEFGHKL,H,G,E,D,A,F,L,K
195,ADEFGIJK,E,G,J,D,A,F,I,K
194,ADEFGIJL,E,G,J,D,A,F,L,I
193,ADEFGIKL,E,G,I,D,A,F,L,K
192,ADEFGJKL,E,G,J,D,A,F,L,K
191,ADEFHIJK,H,J,E,D,A,F,I,K
190,ADEFHIJL,H,J,E,D,A,F,L,I
189,ADEFHIKL,H,E,I,D,A,F,L,K
188,ADEFHJKL,H,J,E,D,A,F,L,K
187,ADEFIJKL,E,J,I,D,A,F,L,K
186,ADEGHIJK,E,G,J,D,A,H,I,K
185,ADEGHIJL,E,G,J,D,A,H,L,I
184,ADEGHIKL,E,G,I,D,A,H,L,K
183,ADEGHJKL,E,G,J,D,A,H,L,K
182,ADEGIJKL,E,J,I,D,A,G,L,K
181,ADEHIJKL,E,J,I,D,A,H,L,K
180,ADFGHIJK,H,G,J,D,A,F,I,K
179,ADFGHIJL,H,G,J,D,A,F,L,I
178,ADFGHIKL,H,G,I,D,A,F,L,K
177,ADFGHJKL,H,G,J,D,A,F,L,K
176,ADFGIJKL,I,G,J,D,A,F,L,K
175,ADFHIJKL,H,J,I,D,A,F,L,K
174,ADGHIJKL,H,J,I,D,A,G,L,K
173,AEFGHIJK,E,G,J,F,A,H,I,K
172,AEFGHIJL,E,G,J,F,A,H,L,I
171,AEFGHIKL,E,G,I,F,A,H,L,K
170,AEFGHJKL,E,G,J,F,A,H,L,K
169,AEFGIJKL,E,J,I,F,A,G,L,K
168,AEFHIJKL,E,J,I,F,A,H,L,K
167,AEGHIJKL,E,J,I,A,H,G,L,K
166,AFGHIJKL,H,J,I,F,A,G,L,K
165,BCDEFGHI,C,G,B,D,H,F,E,I
164,BCDEFGHJ,H,G,B,C,J,F,D,E
163,BCDEFGHK,C,G,B,D,H,F,E,K
162,BCDEFGHL,C,G,B,D,H,F,L,E
161,BCDEFGIJ,C,G,B,D,J,F,E,I
160,BCDEFGIK,C,G,B,D,E,F,I,K
159,BCDEFGIL,C,G,B,D,E,F,L,I
158,BCDEFGJK,C,G,B,D,J,F,E,K
157,BCDEFGJL,C,G,B,D,J,F,L,E
156,BCDEFGKL,C,G,B,D,E,F,L,K
155,BCDEFHIJ,C,J,B,D,H,F,E,I
154,BCDEFHIK,C,E,B,D,H,F,I,K
153,BCDEFHIL,C,E,B,D,H,F,L,I
152,BCDEFHJK,C,J,B,D,H,F,E,K
151,BCDEFHJL,C,J,B,D,H,F,L,E
150,BCDEFHKL,C,E,B,D,H,F,L,K
149,BCDEFIJK,C,J,B,D,E,F,I,K
148,BCDEFIJL,C,J,B,D,E,F,L,I
147,BCDEFIKL,C,E,B,D,I,F,L,K
146,BCDEFJKL,C,J,B,D,E,F,L,K
145,BCDEGHIJ,H,G,B,C,J,D,E,I
144,BCDEGHIK,E,G,B,C,H,D,I,K
143,BCDEGHIL,E,G,B,C,H,D,L,I
142,BCDEGHJK,H,G,B,C,J,D,E,K
141,BCDEGHJL,H,G,B,C,J,D,L,E
140,BCDEGHKL,E,G,B,C,H,D,L,K
139,BCDEGIJK,E,G,B,C,J,D,I,K
138,BCDEGIJL,E,G,B,C,J,D,L,I
137,BCDEGIKL,E,G,B,C,I,D,L,K
136,BCDEGJKL,E,G,B,C,J,D,L,K
135,BCDEHIJK,E,J,B,C,H,D,I,K
134,BCDEHIJL,E,J,B,C,H,D,L,I
133,BCDEHIKL,E,I,B,C,H,D,L,K
132,BCDEHJKL,E,J,B,C,H,D,L,K
131,BCDEIJKL,E,J,B,C,I,D,L,K
130,BCDFGHIJ,H,G,B,C,J,F,D,I
129,BCDFGHIK,C,G,B,D,H,F,I,K
128,BCDFGHIL,C,G,B,D,H,F,L,I
127,BCDFGHJK,H,G,B,C,J,F,D,K
126,BCDFGHJL,C,G,B,D,H,F,L,J
125,BCDFGHKL,C,G,B,D,H,F,L,K
124,BCDFGIJK,C,G,B,D,J,F,I,K
123,BCDFGIJL,C,G,B,D,J,F,L,I
122,BCDFGIKL,C,G,B,D,I,F,L,K
121,BCDFGJKL,C,G,B,D,J,F,L,K
120,BCDFHIJK,C,J,B,D,H,F,I,K
119,BCDFHIJL,C,J,B,D,H,F,L,I
118,BCDFHIKL,C,I,B,D,H,F,L,K
117,BCDFHJKL,C,J,B,D,H,F,L,K
116,BCDFIJKL,C,J,B,D,I,F,L,K
115,BCDGHIJK,H,G,B,C,J,D,I,K
114,BCDGHIJL,H,G,B,C,J,D,L,I
113,BCDGHIKL,H,G,B,C,I,D,L,K
112,BCDGHJKL,H,G,B,C,J,D,L,K
111,BCDGIJKL,I,G,B,C,J,D,L,K
110,BCDHIJKL,H,J,B,C,I,D,L,K
109,BCEFGHIJ,H,G,B,C,J,F,E,I
108,BCEFGHIK,E,G,B,C,H,F,I,K
107,BCEFGHIL,E,G,B,C,H,F,L,I
106,BCEFGHJK,H,G,B,C,J,F,E,K
105,BCEFGHJL,H,G,B,C,J,F,L,E
104,BCEFGHKL,E,G,B,C,H,F,L,K
103,BCEFGIJK,E,G,B,C,J,F,I,K
102,BCEFGIJL,E,G,B,C,J,F,L,I
101,BCEFGIKL,E,G,B,C,I,F,L,K
100,BCEFGJKL,E,G,B,C,J,F,L,K
99,BCEFHIJK,E,J,B,C,H,F,I,K
98,BCEFHIJL,E,J,B,C,H,F,L,I
97,BCEFHIKL,E,I,B,C,H,F,L,K
96,BCEFHJKL,E,J,B,C,H,F,L,K
95,BCEFIJKL,E,J,B,C,I,F,L,K
94,BCEGHIJK,E,J,B,C,H,G,I,K
93,BCEGHIJL,E,J,B,C,H,G,L,I
92,BCEGHIKL,E,G,B,C,I,H,L,K
91,BCEGHJKL,E,J,B,C,H,G,L,K
90,BCEGIJKL,E,J,B,C,I,G,L,K
89,BCEHIJKL,E,J,B,C,I,H,L,K
88,BCFGHIJK,H,G,B,C,J,F,I,K
87,BCFGHIJL,H,G,B,C,J,F,L,I
86,BCFGHIKL,H,G,B,C,I,F,L,K
85,BCFGHJKL,H,G,B,C,J,F,L,K
84,BCFGIJKL,I,G,B,C,J,F,L,K
83,BCFHIJKL,H,J,B,C,I,F,L,K
82,BCGHIJKL,H,J,B,C,I,G,L,K
81,BDEFGHIJ,H,G,B,D,J,F,E,I
80,BDEFGHIK,E,G,B,D,H,F,I,K
79,BDEFGHIL,E,G,B,D,H,F,L,I
78,BDEFGHJK,H,G,B,D,J,F,E,K
77,BDEFGHJL,H,G,B,D,J,F,L,E
76,BDEFGHKL,E,G,B,D,H,F,L,K
75,BDEFGIJK,E,G,B,D,J,F,I,K
74,BDEFGIJL,E,G,B,D,J,F,L,I
73,BDEFGIKL,E,G,B,D,I,F,L,K
72,BDEFGJKL,E,G,B,D,J,F,L,K
71,BDEFHIJK,E,J,B,D,H,F,I,K
70,BDEFHIJL,E,J,B,D,H,F,L,I
69,BDEFHIKL,E,I,B,D,H,F,L,K
68,BDEFHJKL,E,J,B,D,H,F,L,K
67,BDEFIJKL,E,J,B,D,I,F,L,K
66,BDEGHIJK,E,J,B,D,H,G,I,K
65,BDEGHIJL,E,J,B,D,H,G,L,I
64,BDEGHIKL,E,G,B,D,I,H,L,K
63,BDEGHJKL,E,J,B,D,H,G,L,K
62,BDEGIJKL,E,J,B,D,I,G,L,K
61,BDEHIJKL,E,J,B,D,I,H,L,K
60,BDFGHIJK,H,G,B,D,J,F,I,K
59,BDFGHIJL,H,G,B,D,J,F,L,I
58,BDFGHIKL,H,G,B,D,I,F,L,K
57,BDFGHJKL,H,G,B,D,J,F,L,K
56,BDFGIJKL,I,G,B,D,J,F,L,K
55,BDFHIJKL,H,J,B,D,I,F,L,K
54,BDGHIJKL,H,J,B,D,I,G,L,K
53,BEFGHIJK,E,J,B,F,H,G,I,K
52,BEFGHIJL,E,J,B,F,H,G,L,I
51,BEFGHIKL,E,G,B,F,I,H,L,K
50,BEFGHJKL,E,J,B,F,H,G,L,K
49,BEFGIJKL,E,J,B,F,I,G,L,K
48,BEFHIJKL,E,J,B,F,I,H,L,K
47,BEGHIJKL,E,J,I,B,H,G,L,K
46,BFGHIJKL,H,J,B,F,I,G,L,K
45,CDEFGHIJ,C,G,J,D,H,F,E,I
44,CDEFGHIK,C,G,E,D,H,F,I,K
43,CDEFGHIL,C,G,E,D,H,F,L,I
42,CDEFGHJK,C,G,J,D,H,F,E,K
41,CDEFGHJL,C,G,J,D,H,F,L,E
40,CDEFGHKL,C,G,E,D,H,F,L,K
39,CDEFGIJK,C,G,E,D,J,F,I,K
38,CDEFGIJL,C,G,E,D,J,F,L,I
37,CDEFGIKL,C,G,E,D,I,F,L,K
36,CDEFGJKL,C,G,E,D,J,F,L,K
35,CDEFHIJK,C,J,E,D,H,F,I,K
34,CDEFHIJL,C,J,E,D,H,F,L,I
33,CDEFHIKL,C,E,I,D,H,F,L,K
32,CDEFHJKL,C,J,E,D,H,F,L,K
31,CDEFIJKL,C,J,E,D,I,F,L,K
30,CDEGHIJK,E,G,J,C,H,D,I,K
29,CDEGHIJL,E,G,J,C,H,D,L,I
28,CDEGHIKL,E,G,I,C,H,D,L,K
27,CDEGHJKL,E,G,J,C,H,D,L,K
26,CDEGIJKL,E,G,I,C,J,D,L,K
25,CDEHIJKL,E,J,I,C,H,D,L,K
24,CDFGHIJK,C,G,J,D,H,F,I,K
23,CDFGHIJL,C,G,J,D,H,F,L,I
22,CDFGHIKL,C,G,I,D,H,F,L,K
21,CDFGHJKL,C,G,J,D,H,F,L,K
20,CDFGIJKL,C,G,I,D,J,F,L,K
19,CDFHIJKL,C,J,I,D,H,F,L,K
18,CDGHIJKL,H,G,I,C,J,D,L,K
17,CEFGHIJK,E,G,J,C,H,F,I,K
16,CEFGHIJL,E,G,J,C,H,F,L,I
15,CEFGHIKL,E,G,I,C,H,F,L,K
14,CEFGHJKL,E,G,J,C,H,F,L,K
13,CEFGIJKL,E,G,I,C,J,F,L,K
12,CEFHIJKL,E,J,I,C,H,F,L,K
11,CEGHIJKL,E,J,I,C,H,G,L,K
10,CFGHIJKL,H,G,I,C,J,F,L,K
9,DEFGHIJK,E,G,J,D,H,F,I,K
8,DEFGHIJL,E,G,J,D,H,F,L,I
7,DEFGHIKL,E,G,I,D,H,F,L,K
6,DEFGHJKL,E,G,J,D,H,F,L,K
5,DEFGIJKL,E,G,I,D,J,F,L,K
4,DEFHIJKL,E,J,I,D,H,F,L,K
3,DEGHIJKL,E,J,I,D,H,G,L,K
2,DFGHIJKL,H,G,I,D,J,F,L,K
1,EFGHIJKL,E,J,I,F,H,G,L,K
